Batch ID,Machine ID,Fabric type,Operator,Shift,Production quantity,Production speed,Waste quantity,Machine age,Last maintenance date,Humidity,Temperature,Machine failure
98,M14957,Polyester,Op-19,Night,17500,1750,8.9401,5.0,2026-01-01,98.89999999999998,58.89999999999998,0
99,L47278,Cotton,Op-20,Morning,15290,1529,10.692900000000002,5.3,2026-01-01,98.89999999999998,58.80000000000001,0
100,L47279,Cotton,Op-1,Evening,15230,1523,19.7136,5.5,2026-01-01,98.80000000000001,58.80000000000001,0
101,L47280,Cotton,Op-2,Night,18520,1852,6.25,5.7,2026-01-01,98.80000000000001,58.89999999999998,0
102,L47281,Cotton,Op-3,Morning,19910,1991,4.2848999999999995,5.9,2026-01-01,98.80000000000001,58.80000000000001,0
103,L47282,Cotton,Op-4,Evening,15550,1555,16.483600000000003,6.1,2026-01-01,98.80000000000001,58.80000000000001,0
104,M14963,Polyester,Op-5,Night,14410,1441,16.4025,6.3,2026-01-01,98.80000000000001,58.80000000000001,0
105,L47284,Cotton,Op-6,Morning,14500,1450,18.8356,6.6,2026-01-01,98.80000000000001,58.69999999999999,0
106,L47285,Cotton,Op-7,Evening,15910,1591,9.6721,6.8,2026-01-01,98.80000000000001,58.69999999999999,0
107,L47286,Cotton,Op-8,Night,14450,1445,23.5225,7.0,2026-01-01,98.80000000000001,58.69999999999999,0
108,M14967,Polyester,Op-9,Morning,14970,1497,21.902399999999997,7.2,2026-01-01,98.80000000000001,58.80000000000001,0
109,H29522,Silk,Op-10,Evening,16210,1621,10.692900000000002,7.5,2026-01-01,98.89999999999998,58.80000000000001,0
110,L47289,Cotton,Op-11,Night,15720,1572,11.628100000000002,8.0,2026-01-01,98.89999999999998,58.69999999999999,0
111,L47290,Cotton,Op-12,Morning,18720,1872,5.0625,8.2,2026-01-01,98.80000000000001,58.60000000000002,0
112,H29525,Silk,Op-13,Evening,14990,1499,18.9225,8.4,2026-01-01,98.69999999999999,58.60000000000002,0
113,M14972,Polyester,Op-14,Night,14980,1498,15.6025,8.9,2026-01-01,98.80000000000001,58.69999999999999,0
114,M14973,Polyester,Op-15,Morning,14860,1486,17.5561,9.2,2026-01-01,98.80000000000001,58.60000000000002,0
115,L47294,Cotton,Op-16,Evening,16800,1680,8.6436,9.5,2026-01-01,98.80000000000001,58.60000000000002,0
116,L47295,Cotton,Op-17,Night,14310,1431,20.884900000000002,9.7,2026-01-01,98.80000000000001,58.60000000000002,0
117,L47296,Cotton,Op-18,Morning,15640,1564,11.628100000000002,9.9,2026-01-01,98.89999999999998,58.69999999999999,0
118,L47297,Cotton,Op-19,Evening,15990,1599,10.89,10.1,2026-01-01,98.80000000000001,58.60000000000002,0
119,M14978,Polyester,Op-20,Night,17070,1707,7.8961000000000015,10.3,2026-01-01,98.80000000000001,58.60000000000002,0
120,L47299,Cotton,Op-1,Morning,14670,1467,16.5649,10.6,2026-01-01,98.69999999999999,58.5,0
121,L47300,Cotton,Op-2,Evening,14330,1433,19.980900000000002,10.8,2026-01-01,98.89999999999998,58.69999999999999,0
122,L47301,Cotton,Op-3,Night,15580,1558,16.974400000000003,11.0,2026-01-01,98.89999999999998,58.69999999999999,0
123,L47302,Cotton,Op-4,Morning,13100,1310,25.704900000000002,11.2,2026-01-01,99.0,58.80000000000001,0
124,L47303,Cotton,Op-5,Evening,15460,1546,18.8356,11.4,2026-01-01,98.89999999999998,58.69999999999999,0
125,L47304,Cotton,Op-6,Night,17270,1727,8.6436,11.6,2026-01-01,98.89999999999998,58.69999999999999,0
126,L47305,Cotton,Op-7,Morning,15600,1560,10.368400000000001,11.8,2026-01-01,98.89999999999998,58.60000000000002,0
127,L47306,Cotton,Op-8,Evening,13290,1329,36.6025,12.0,2026-01-01,99.0,58.60000000000002,0
128,L47307,Cotton,Op-9,Night,14130,1413,21.6225,12.2,2026-01-01,98.89999999999998,58.60000000000002,0
129,L47308,Cotton,Op-10,Morning,15870,1587,14.8996,12.4,2026-01-01,99.0,58.60000000000002,0
130,L47309,Cotton,Op-11,Evening,15590,1559,11.764899999999997,12.6,2026-01-01,98.89999999999998,58.5,0
131,L47310,Cotton,Op-12,Night,14730,1473,16.8921,12.8,2026-01-01,98.80000000000001,58.39999999999998,0
132,L47311,Cotton,Op-13,Morning,17370,1737,7.672899999999999,13.0,2026-01-01,98.80000000000001,58.39999999999998,0
133,M14992,Polyester,Op-14,Evening,14410,1441,18.6624,13.2,2026-01-01,98.69999999999999,58.39999999999998,0
134,M14993,Polyester,Op-15,Night,14300,1430,24.601600000000005,13.5,2026-01-01,98.69999999999999,58.39999999999998,0
135,L47314,Cotton,Op-16,Morning,13690,1369,28.09,13.8,2026-01-01,98.80000000000001,58.39999999999998,0
136,M14995,Polyester,Op-17,Evening,17110,1711,8.1225,14.0,2026-01-01,98.80000000000001,58.5,0
137,H29550,Silk,Op-18,Night,14200,1420,20.884900000000002,14.3,2026-01-01,98.69999999999999,58.5,0
138,L47317,Cotton,Op-19,Morning,12970,1297,30.580899999999996,14.8,2026-01-01,98.69999999999999,58.60000000000002,0
139,H29552,Silk,Op-20,Evening,14490,1449,24.403599999999997,15.0,2026-01-01,98.80000000000001,58.60000000000002,0
140,L47319,Cotton,Op-1,Night,12680,1268,31.1364,15.5,2026-01-01,98.80000000000001,58.60000000000002,0
141,L47320,Cotton,Op-2,Morning,15110,1511,13.0321,15.7,2026-01-01,98.80000000000001,58.60000000000002,0
142,L47321,Cotton,Op-3,Evening,15440,1544,12.390400000000001,15.9,2026-01-01,98.69999999999999,58.5,0
143,M15002,Polyester,Op-4,Night,17780,1778,7.9524,16.1,2026-01-01,98.60000000000002,58.39999999999998,0
144,H29557,Silk,Op-5,Morning,14070,1407,25.5025,16.4,2026-01-01,98.60000000000002,58.39999999999998,0
145,M15004,Polyester,Op-6,Evening,13910,1391,17.9776,16.9,2026-01-01,98.60000000000002,58.39999999999998,0
146,L47325,Cotton,Op-7,Night,15130,1513,11.2896,17.2,2026-01-01,98.5,58.39999999999998,0
147,H29560,Silk,Op-8,Morning,16120,1612,13.0321,17.4,2026-01-01,98.5,58.39999999999998,0
148,L47327,Cotton,Op-9,Evening,15150,1515,16.0801,17.9,2026-01-01,98.39999999999998,58.39999999999998,0
149,M15008,Polyester,Op-10,Night,13790,1379,23.04,18.1,2026-01-01,98.30000000000001,58.30000000000001,0
150,L47329,Cotton,Op-11,Morning,14730,1473,15.9201,18.4,2026-01-01,98.39999999999998,58.30000000000001,0
151,L47330,Cotton,Op-12,Evening,14220,1422,18.2329,18.6,2026-01-01,98.39999999999998,58.30000000000001,0
152,M15011,Polyester,Op-13,Night,14630,1463,14.137600000000003,18.8,2026-01-01,98.39999999999998,58.19999999999999,0
153,M15012,Polyester,Op-14,Morning,15840,1584,16.81,19.1,2026-01-01,98.39999999999998,58.19999999999999,0
154,L47333,Cotton,Op-15,Evening,18500,1850,7.29,19.4,2026-01-01,98.39999999999998,58.19999999999999,0
155,L47334,Cotton,Op-16,Night,15280,1528,13.104400000000004,19.6,2026-01-01,98.39999999999998,58.19999999999999,0
156,H29569,Silk,Op-17,Morning,19870,1987,3.9204000000000003,19.8,2026-01-01,98.39999999999998,58.19999999999999,0
157,M15016,Polyester,Op-18,Evening,14950,1495,21.16,20.3,2026-01-01,98.39999999999998,58.10000000000002,0
158,H29571,Silk,Op-19,Night,14780,1478,18.9225,20.6,2026-01-01,98.39999999999998,58.19999999999999,0
159,M15018,Polyester,Op-20,Morning,14990,1499,16.0,21.1,2026-01-01,98.39999999999998,58.19999999999999,0
160,L47339,Cotton,Op-1,Evening,14710,1471,22.09,21.4,2026-01-01,98.39999999999998,58.19999999999999,0
161,L47340,Cotton,Op-2,Night,12820,1282,36.8449,21.6,2026-01-01,98.39999999999998,58.19999999999999,1
162,L47341,Cotton,Op-3,Morning,14120,1412,27.352899999999995,21.8,2026-01-01,98.30000000000001,58.10000000000002,1
163,L47342,Cotton,Op-4,Evening,15860,1586,12.6025,0.0,2026-01-01,98.30000000000001,58.10000000000002,0
164,M15023,Polyester,Op-5,Night,14680,1468,19.184399999999997,0.2,2026-01-01,98.39999999999998,58.19999999999999,0
165,M15024,Polyester,Op-6,Morning,14400,1440,19.0096,0.5,2026-01-01,98.5,58.30000000000001,0
166,L47345,Cotton,Op-7,Evening,17330,1733,6.76,0.8,2026-01-01,98.5,58.39999999999998,0
167,H29580,Silk,Op-8,Night,16120,1612,10.6276,1.0,2026-01-01,98.39999999999998,58.19999999999999,0
168,H29581,Silk,Op-9,Morning,14580,1458,18.4041,1.5,2026-01-01,98.39999999999998,58.30000000000001,0
169,L47348,Cotton,Op-10,Evening,14330,1433,38.81289999999999,2.0,2026-01-01,98.39999999999998,58.30000000000001,1
170,L47349,Cotton,Op-11,Night,13180,1318,34.9281,2.2,2026-01-01,98.39999999999998,58.30000000000001,0
171,M15030,Polyester,Op-12,Morning,16100,1610,12.25,2.4,2026-01-01,98.39999999999998,58.19999999999999,0
172,L47351,Cotton,Op-13,Evening,14620,1462,25.8064,2.7,2026-01-01,98.19999999999999,58.10000000000002,0
173,M15032,Polyester,Op-14,Night,19240,1924,4.3264000000000005,2.9,2026-01-01,98.10000000000002,58.0,0
174,M15033,Polyester,Op-15,Morning,15910,1591,11.356900000000003,3.2,2026-01-01,98.19999999999999,58.0,0
175,L47354,Cotton,Op-16,Evening,13060,1306,33.9889,3.5,2026-01-01,98.19999999999999,58.10000000000002,0
176,L47355,Cotton,Op-17,Night,13820,1382,18.9225,3.7,2026-01-01,98.19999999999999,58.10000000000002,0
177,L47356,Cotton,Op-18,Morning,16180,1618,12.0409,3.9,2026-01-01,98.19999999999999,58.10000000000002,0
178,L47357,Cotton,Op-19,Evening,19880,1988,4.579599999999999,4.1,2026-01-01,98.19999999999999,58.19999999999999,0
179,L47358,Cotton,Op-20,Night,14360,1436,25.200400000000005,4.3,2026-01-01,98.19999999999999,58.19999999999999,0
180,L47359,Cotton,Op-1,Morning,13040,1304,24.800399999999996,4.5,2026-01-01,98.19999999999999,58.30000000000001,0
181,L47360,Cotton,Op-2,Evening,14750,1475,24.9001,4.7,2026-01-01,98.19999999999999,58.30000000000001,0
182,H29595,Silk,Op-3,Night,18240,1824,5.8564,4.9,2026-01-01,98.19999999999999,58.30000000000001,0
183,M15042,Polyester,Op-4,Morning,13420,1342,23.136100000000003,5.4,2026-01-01,98.10000000000002,58.19999999999999,0
184,L47363,Cotton,Op-5,Evening,14850,1485,16.5649,5.7,2026-01-01,98.10000000000002,58.19999999999999,0
185,L47364,Cotton,Op-6,Night,16670,1667,9.363600000000002,5.9,2026-01-01,98.19999999999999,58.19999999999999,0
186,L47365,Cotton,Op-7,Morning,14460,1446,14.592400000000003,6.1,2026-01-01,98.19999999999999,58.19999999999999,0
187,L47366,Cotton,Op-8,Evening,13010,1301,31.36,6.3,2026-01-01,98.10000000000002,58.30000000000001,0
188,L47367,Cotton,Op-9,Night,13790,1379,18.5761,6.5,2026-01-01,98.19999999999999,58.39999999999998,0
189,L47368,Cotton,Op-10,Morning,16060,1606,11.2896,6.7,2026-01-01,98.30000000000001,58.5,0
190,M15049,Polyester,Op-11,Evening,15390,1539,18.8356,6.9,2026-01-01,98.30000000000001,58.39999999999998,0
191,L47370,Cotton,Op-12,Night,14770,1477,24.9001,7.2,2026-01-01,98.19999999999999,58.39999999999998,0
192,L47371,Cotton,Op-13,Morning,16660,1666,11.9716,7.4,2026-01-01,98.19999999999999,58.39999999999998,0
193,H29606,Silk,Op-14,Evening,13980,1398,26.832399999999996,7.6,2026-01-01,98.19999999999999,58.39999999999998,0
194,H29607,Silk,Op-15,Night,16780,1678,11.9716,8.1,2026-01-01,98.19999999999999,58.39999999999998,0
195,M15054,Polyester,Op-16,Morning,26780,2678,1.1448999999999998,8.6,2026-01-01,98.19999999999999,58.5,1
196,L47375,Cotton,Op-17,Evening,14530,1453,18.4041,8.9,2026-01-01,98.30000000000001,58.5,0
197,H29610,Silk,Op-18,Night,14320,1432,24.5025,9.1,2026-01-01,98.30000000000001,58.60000000000002,0
198,M15057,Polyester,Op-19,Morning,15270,1527,16.728099999999998,9.6,2026-01-01,98.39999999999998,58.60000000000002,0
199,L47378,Cotton,Op-20,Evening,15880,1588,12.25,9.9,2026-01-01,98.39999999999998,58.69999999999999,0
200,L47379,Cotton,Op-1,Night,14330,1433,22.184100000000004,10.1,2026-01-01,98.39999999999998,58.60000000000002,0
201,L47380,Cotton,Op-2,Morning,16090,1609,12.25,10.3,2026-01-01,98.39999999999998,58.60000000000002,0
202,L47381,Cotton,Op-3,Evening,15750,1575,16.974400000000003,10.5,2026-01-01,98.30000000000001,58.5,0
203,M15062,Polyester,Op-4,Night,16360,1636,12.744900000000003,10.7,2026-01-01,98.39999999999998,58.5,0
204,L47383,Cotton,Op-5,Morning,14900,1490,14.364099999999999,11.0,2026-01-01,98.39999999999998,58.5,0
205,L47384,Cotton,Op-6,Evening,17410,1741,10.7584,11.2,2026-01-01,98.39999999999998,58.5,0
206,M15065,Polyester,Op-7,Night,13440,1344,28.09,11.4,2026-01-01,98.5,58.60000000000002,0
207,L47386,Cotton,Op-8,Morning,16090,1609,12.460899999999997,11.7,2026-01-01,98.5,58.69999999999999,0
208,M15067,Polyester,Op-9,Evening,14210,1421,36.8449,11.9,2026-01-01,98.39999999999998,58.69999999999999,1
209,L47388,Cotton,Op-10,Night,15910,1591,13.468900000000001,12.2,2026-01-01,98.39999999999998,58.60000000000002,0
210,L47389,Cotton,Op-11,Morning,14770,1477,19.36,12.4,2026-01-01,98.39999999999998,58.60000000000002,0
211,L47390,Cotton,Op-12,Evening,15230,1523,13.0321,12.6,2026-01-01,98.39999999999998,58.69999999999999,0
212,L47391,Cotton,Op-13,Night,15750,1575,11.492099999999999,12.8,2026-01-01,98.5,58.69999999999999,0
213,H29626,Silk,Op-14,Morning,13440,1344,27.984099999999998,13.0,2026-01-01,98.39999999999998,58.69999999999999,0
214,L47393,Cotton,Op-15,Evening,13860,1386,20.160099999999996,13.5,2026-01-01,98.39999999999998,58.69999999999999,0
215,M15074,Polyester,Op-16,Night,15890,1589,13.764100000000001,13.7,2026-01-01,98.30000000000001,58.60000000000002,0
216,L47395,Cotton,Op-17,Morning,15480,1548,16.240899999999996,14.0,2026-01-01,98.30000000000001,58.60000000000002,0
217,L47396,Cotton,Op-18,Evening,14990,1499,14.668899999999999,14.2,2026-01-01,98.30000000000001,58.60000000000002,0
218,L47397,Cotton,Op-19,Night,16640,1664,9.9856,14.4,2026-01-01,98.30000000000001,58.5,0
219,L47398,Cotton,Op-20,Morning,14470,1447,14.516100000000002,14.6,2026-01-01,98.30000000000001,58.60000000000002,0
220,M15079,Polyester,Op-1,Evening,14340,1434,21.3444,14.8,2026-01-01,98.30000000000001,58.5,0
221,L47400,Cotton,Op-2,Night,14160,1416,27.772900000000003,15.1,2026-01-01,98.30000000000001,58.5,0
222,H29635,Silk,Op-3,Morning,18270,1827,5.9049000000000005,15.3,2026-01-01,98.39999999999998,58.5,0
223,L47402,Cotton,Op-4,Evening,13040,1304,20.25,15.8,2026-01-01,98.39999999999998,58.60000000000002,0
224,L47403,Cotton,Op-5,Night,15690,1569,11.833599999999999,16.0,2026-01-01,98.39999999999998,58.60000000000002,0
225,L47404,Cotton,Op-6,Morning,15840,1584,8.5849,16.2,2026-01-01,98.30000000000001,58.60000000000002,0
226,L47405,Cotton,Op-7,Evening,13620,1362,28.944399999999995,16.4,2026-01-01,98.30000000000001,58.5,0
227,L47406,Cotton,Op-8,Night,13290,1329,24.206400000000002,16.6,2026-01-01,98.30000000000001,58.39999999999998,0
228,L47407,Cotton,Op-9,Morning,15390,1539,13.0321,16.8,2026-01-01,98.30000000000001,58.5,0
229,M15088,Polyester,Op-10,Evening,16290,1629,13.764100000000001,17.0,2026-01-01,98.30000000000001,58.5,0
230,L47409,Cotton,Op-11,Night,15380,1538,10.368400000000001,17.3,2026-01-01,98.30000000000001,58.5,0
231,L47410,Cotton,Op-12,Morning,15700,1570,12.110399999999997,17.5,2026-01-01,98.30000000000001,58.60000000000002,0
232,L47411,Cotton,Op-13,Evening,14080,1408,18.5761,17.7,2026-01-01,98.30000000000001,58.39999999999998,0
